,userid,sex,date,pay_mode,name,type,price,rating
0,239c63e1-d149-440e-96a5-b53cf3ef19d7,M,2021-04-02 05:40:23,CREDIT,Empanaditas Antioqueñas ,entradas,$ 14.000,4.7
1,e734308c-37a2-4a23-9e92-3c78dd596996,M,2021-03-05 16:52:28,CREDIT,Chicharrón ,entradas,$ 22.600,4.9
2,c190a0e3-9d42-4ef4-a074-3969a9cfee52,F,2021-08-27 00:50:34,PSE,Entrada Típica ,entradas,$ 29.900,4.3
3,8b04bf02-b020-42d4-b5ee-5764990364dc,F,2021-09-23 23:02:17,CREDIT,Plancha de Queso Papialpa ,entradas,$ 24.200,3.5
4,6f080f4b-17b1-4bba-aac4-0170a12fdb07,M,2021-09-22 01:08:31,CREDIT,Crema de Maíz ,entradas,$ 14.500,3.8
5,2411a652-eb50-4334-a23b-65686fbb933f,M,2021-08-19 20:57:12,PSE,Sopa Campesina ,entradas,$ 14.000,4.0
6,7b90c86e-a8ed-4e5a-9cd2-05ba8f0858ca,F,2021-09-25 23:47:14,PSE,Sopa De Guineo ,entradas,$ 14.000,3.9
7,3b3cda0f-51b1-49fa-840d-b65353bbfcdb,M,2021-02-17 05:47:29,CREDIT,Coctel Mixto de Camarones ,entradas,$ 35.700,4.0
8,92e4519e-861c-4351-bbe7-ec3ec20fc8fb,M,2021-03-09 06:56:37,CREDIT,Bandeja Paisa ,platos-fuertes,$ 38.300,4.3
9,88b0e18f-5ffd-4a03-92a5-c16cb3185c94,M,2021-08-19 12:26:10,PSE,Cazuela Típica ,platos-fuertes,$ 37.800,4.2
10,6551f894-5402-4d55-a6af-d4d98aeacde5,M,2021-07-06 01:12:34,CREDIT,Mondongo ,platos-fuertes,$ 35.000,3.5
11,16edd385-8d57-4e51-9026-0fc5ddf3a0bc,M,2021-10-02 20:55:58,PSE,Ajiaco ,platos-fuertes,$ 35.500,3.5
12,df40e04c-005b-4a73-99a4-6d102e442386,F,2021-03-28 20:48:45,PSE,Sopa de Cura en Vereda ,platos-fuertes,$ 25.900,3.5
13,49265990-b5e1-41e1-810a-d84d6271405e,F,2021-02-25 03:32:04,CREDIT,Fríjoles con Chicharrón ,platos-fuertes,$ 36.800,3.3
14,8619b3f0-d0e0-4215-be8d-5958fba7ec0d,F,2021-05-18 19:25:58,PSE,Posta en Salsa Criolla ,platos-fuertes,$ 42.500,4.8
15,3bfdb6d7-3bca-479b-b1df-dde6602c2f53,M,2021-04-05 12:00:28,CREDIT,Lengua en Salsa de Carne y Vino ,platos-fuertes,$ 41.500,4.6
16,dd9a1244-1db0-499a-86b5-bd3f78bba816,F,2021-01-13 05:05:45,PSE,Lengua en Salsa Criolla ,platos-fuertes,$ 41.500,4.9
17,8f4c28ee-9fbb-43d6-af8f-73de6dc99a05,M,2021-05-10 02:40:32,PSE,Hígado Encebollado ,platos-fuertes,$ 37.000,3.8
18,008a4b1d-cb62-46fa-a829-70b1e7ac57d4,M,2020-12-05 18:40:52,CREDIT,Sobrebarriga a la Criolla ,platos-fuertes,$ 42.500,4.8
19,c4777d70-a3b4-41b0-89cd-69dd1be54367,F,2021-08-29 13:59:38,CREDIT,Sancocho Antioqueño ,platos-fuertes,$ 44.600 (findes y festivos),5.0
20,70ddb335-1c5f-4aba-83ea-da67b8b6751a,M,2021-05-31 01:07:10,CREDIT,Frijoles Verdes ,platos-fuertes,$ 38.000 (Findes y festivos),4.0
21,d15382df-2228-4546-a7f6-b04c4ff57d7b,M,2021-09-19 20:49:38,CREDIT,Churrasco ,platos-fuertes,$ 46.800,3.4
22,d9ca2922-f3c6-4c59-9edb-15a8527b16be,F,2021-03-20 20:18:40,PSE,Solomito ,platos-fuertes,$ 48.400,4.1
23,f31b669c-685b-4805-a83f-4786c407a619,F,2021-07-25 14:48:31,PSE,Punta de Anca ,platos-fuertes,$ 48.900,4.6
24,a1b868c1-f8cb-4f7f-999e-163d5dca4974,M,2021-07-26 02:04:52,CREDIT,Solomito Sterling ,platos-fuertes,$ 50.500,4.7
25,077d45c4-5c67-414f-bef7-acc40943829b,F,2021-07-22 15:08:15,CREDIT,Pollo ,platos-fuertes,$ 36.500,4.9
26,335650e9-46b5-4cf8-bd4f-b6f99ddf8041,F,2021-09-07 22:50:04,PSE,Pescado ,platos-fuertes,$ 35.000,4.1
27,96e118db-020b-4c19-94f3-01505173146b,F,2021-10-19 06:24:18,CREDIT,Trucha ,platos-fuertes,$ 37.000,3.7
28,6f6503bd-277a-4de4-ab35-af0c10730ae3,M,2021-02-05 22:46:29,CREDIT,Salmón ,platos-fuertes,$ 54.500,4.5
29,2f735037-3c4d-46a7-8f49-c5cd578b65b0,M,2020-12-02 22:13:05,CREDIT,Langostinos ,platos-fuertes,$ 67.600,3.5
30,9dd99050-2b4d-4180-95a0-678e5c54b05f,M,2021-10-14 07:40:44,PSE,Mixta con Langostinos ,platos-fuertes,$ 59.500,4.3
31,8cea12a4-ce20-49f5-9194-97a2974beb3e,M,2021-11-20 06:53:15,CREDIT,Cañón de Cerdo ,platos-fuertes,$ 41.500,4.4
32,3fa3f5c9-a974-4b2a-b5fc-2324483f880d,M,2021-05-19 10:08:03,PSE,Pescado en salsa de Camarones ,platos-fuertes,$ 51.500,3.3
33,1e4753cd-60ed-4e64-8ce9-11c41d42e2bd,F,2021-04-10 19:26:05,CREDIT,Trucha en salsa de Camarones ,platos-fuertes,$ 51.500,4.4
34,af15ef7e-9a94-4ceb-bb4c-f8c7a6ae032e,F,2021-10-17 05:31:22,PSE,Medallones de Solomito ,platos-fuertes,$ 50.500,4.2
35,9ec4d787-e071-4d11-a7ec-4f441fee9bac,F,2021-05-11 10:44:17,PSE,Pollo en salsa de Queso Papialpa ,platos-fuertes,$ 44.500,4.5
36,e3408ac4-c79b-4bca-9358-4cad0e040899,F,2021-01-09 11:23:37,PSE,Posta Negra Cartagenera ,platos-fuertes,$ 47.000,4.8
37,ca6ec1ff-a737-466c-9394-a232b28f3be3,M,2021-11-08 13:34:03,PSE,Cazuela de Mariscos ,platos-fuertes,$ 59.900,3.2
38,ebc63226-2cc6-4ead-96f1-ff2203a684ef,F,2021-06-25 03:59:21,CREDIT,Ensalada Hatoviejo ,ensaladas,$ 29.900,3.2
39,d964d906-d045-4f24-b0de-7d4c1918e34e,M,2021-07-05 00:57:22,PSE,Nuggets de Pollo ,menu-infantil,$ 22.000,3.3
40,471261c9-6b41-4d72-a404-ca6a407b8956,M,2020-12-05 13:10:35,CREDIT,Deditos de Pescado ,menu-infantil,$ 19.000,3.9
41,7e73ceb5-0baa-4c6f-86e8-ac7d55d2fb0c,M,2021-03-31 02:47:14,PSE,Julianas de Solomito ,menu-infantil,$ 21.000,4.3
42,ef8431d0-6309-42b1-8135-e50677e25182,F,2021-04-23 13:19:12,PSE,"Sodas Saborizadas, Jugos, Limonadas, gaseosas",bebidas,,4.2
43,cd2ec610-85d9-4183-90bc-c61d7023fafc,M,2021-08-27 22:51:06,PSE,Aperitivos y Cocteles,bebidas,,3.0
44,a8c8606c-30f6-4c4c-b822-ad0aea05e3be,F,2020-12-26 20:58:24,CREDIT,Vinos,bebidas,,4.6
45,d2c2e059-2bf5-49ab-ab8c-dedeba8670cf,M,2021-06-09 20:21:16,CREDIT,Cervezas y Licores,bebidas,,3.7
46,1d69db58-8579-4fb9-a666-92096efc38a6,M,2021-10-21 03:12:46,PSE,"Café, Té, Aromáticas y bebidas calientes",bebidas,,4.4
47,1dfc4523-fc26-4d52-b549-8641d33c1c68,F,2021-11-16 18:08:11,CREDIT,Flan de Leche ,postres,$ 13.200,4.4
48,469ab8cf-769d-4351-8da4-511fffdabe7a,M,2021-07-18 01:12:15,CREDIT,Postre Típico ,postres,$ 12.000,4.3
49,97b4fe0e-13c8-4dee-9f5c-a415ea06f161,F,2021-07-17 20:34:17,CREDIT,Postre de Milo ,postres,$ 13.800,3.0
50,e8c7107d-7aff-4fa1-90fa-4eedda1485c5,M,2021-06-02 11:39:17,PSE,Brownie con Helado ,postres,$ 13.900,4.2
51,2d98cd97-f846-4492-978a-40f918239665,M,2021-04-29 14:31:43,PSE,Postre de Natas ,postres,$ 14.600,3.5
52,80211768-6364-48b3-b8c1-4119fff132f6,M,2021-03-24 13:21:01,PSE,Mazamorra ,postres,$ 11.500,3.4
53,1a4d8e7a-7e41-48b8-b69f-5bd48ca124c4,M,2021-04-25 09:22:36,CREDIT,Calentado con Chicharrón ,desayunos,$ 19.700,4.6
54,6c778195-5a60-4221-9790-12c40be59f55,F,2021-01-03 18:26:16,PSE,Calentado con Carne desmechada ,desayunos,$ 19.700,3.2
55,36d71034-8418-4451-89e7-aae6caa87bae,M,2021-04-02 04:24:11,PSE,Calentado con Solomito ,desayunos,$ 24.800,4.5
56,a56851c1-105b-46fa-80a4-faf68c5c6d68,M,2021-07-05 09:56:42,PSE,Calentado con Chorizo ,desayunos,$ 19.700,4.3
57,e4e95adf-a360-4156-918a-8e212d6add38,F,2021-10-30 02:11:13,CREDIT,Calentado con Pollo ,desayunos,$ 19.700,4.2
58,4c177e65-87b8-4026-93f9-e93d850b760b,M,2021-07-11 10:22:37,PSE,Calentado con Huevos con Aliños ,desayunos,$ 16.500,3.5
59,f1aa3779-fad8-43d4-9379-1514ea30c6e7,F,2021-01-02 12:08:50,CREDIT,Bistec a Caballo ,desayunos,$ 29.900,3.8
60,85d5a3e2-163f-46a0-bfaa-e7f6e64e7366,F,2021-05-03 15:22:38,CREDIT,Chorizo con Arepa ,desayunos,$ 12.500,3.0
61,7c28ca2a-15ce-419a-841f-405233328082,F,2020-11-21 17:43:04,PSE,Huevos Especiales con Arepa ,desayunos,$ 19.900,4.6
62,a9710f5d-af9b-432d-84fe-685e9ec782a4,M,2021-08-14 18:43:07,PSE,Huevos al gusto con Arepa con queso ,desayunos,$ 15.000,4.2
63,c5b9d2ea-ecbe-453f-b711-1aa0e86b9d58,M,2021-08-08 09:48:44,PSE,Empanaditas Antioqueñas ,entradas,$ 14.000,4.7
64,24c26bf2-16a3-4cca-bda5-34c3e4631c59,M,2021-06-11 21:10:50,CREDIT,Chicharrón ,entradas,$ 22.600,4.9
65,f9a256fa-981e-4944-ade9-af713122ddf1,M,2021-01-12 14:42:15,CREDIT,Entrada Típica ,entradas,$ 29.900,4.3
66,875d46d5-9713-436c-bd64-c03bfb6adb54,F,2021-01-24 12:57:26,CREDIT,Plancha de Queso Papialpa ,entradas,$ 24.200,3.5
67,2f2f4ef3-9fdd-488b-8bc3-53daf5134699,F,2021-07-09 12:03:06,PSE,Crema de Maíz ,entradas,$ 14.500,3.8
68,bf17a52d-9d44-4aa6-8acd-561d1df48a8b,F,2021-01-24 03:15:08,CREDIT,Sopa Campesina ,entradas,$ 14.000,4.0
69,197e13fe-f595-4b84-9abf-874f7538e217,M,2021-07-01 18:53:20,PSE,Sopa De Guineo ,entradas,$ 14.000,3.9
70,3839c510-c193-4947-b296-44ab02b08b50,M,2021-03-24 17:01:13,PSE,Coctel Mixto de Camarones ,entradas,$ 35.700,4.0
71,145c8543-5e8e-4df5-be36-bf9444ecf01f,M,2021-08-10 08:06:32,PSE,Bandeja Paisa ,platos-fuertes,$ 38.300,4.3
72,82497818-4d0d-479d-916f-e89f65491410,F,2021-06-09 05:07:54,CREDIT,Cazuela Típica ,platos-fuertes,$ 37.800,4.2
73,9983ff46-64df-474b-ad70-49c4d290044c,M,2021-09-23 09:37:24,PSE,Mondongo ,platos-fuertes,$ 35.000,3.5
74,57b2f11d-6ea8-41c9-8a3d-9a8b1f74564f,F,2021-04-20 00:02:38,PSE,Ajiaco ,platos-fuertes,$ 35.500,3.5
75,04e8baab-4835-4f2c-9ca3-ae1ff192e6d5,M,2021-08-20 03:27:09,CREDIT,Sopa de Cura en Vereda ,platos-fuertes,$ 25.900,3.5
76,0ab4ead6-f655-44f6-baa4-c1a7cfab65d2,M,2021-07-09 21:45:07,CREDIT,Fríjoles con Chicharrón ,platos-fuertes,$ 36.800,3.3
77,6c417c94-51a4-42a3-9a0c-d76e52447d7f,F,2021-11-17 05:31:15,CREDIT,Posta en Salsa Criolla ,platos-fuertes,$ 42.500,4.8
